,X,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
90,35713,1/21/14,9:32,MANHATTAN,10023,40.7779733,-73.982156,0,0,0,0,0,0,0,0,Unspecified,BUS,64,0,206,0,-110,68,340
91,35714,1/21/14,9:30,BRONX,10451,40.8278116,-73.9259293,2,0,0,0,0,0,2,0,Traffic Control Disregarded,LIVERY VEHICLE,64,0,206,0,-110,68,340
92,35715,1/21/14,9:30,BRONX,NA,40.8049944,-73.9113446,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
93,35716,1/21/14,9:30,BRONX,NA,40.7087666,-73.9981083,0,0,0,0,0,0,0,0,Pavement Slippery,TAXI,64,0,206,0,-110,68,340
94,35717,1/21/14,9:30,MANHATTAN,NA,40.6113222,-74.1147031,0,0,0,0,0,0,0,0,Outside Car Distraction,TAXI,64,0,206,0,-110,68,340
95,35718,1/21/14,9:30,QUEENS,11434,40.6837215,-73.784675,0,0,0,0,0,0,0,0,Unspecified,VAN,64,0,206,0,-110,68,340
96,35719,1/21/14,9:30,QUEENS,11430,40.6615955,-73.7787163,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
97,35720,1/21/14,9:30,QUEENS,11101,40.7492975,-73.9494146,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
98,35721,1/21/14,9:30,MANHATTAN,10017,40.7572855,-73.9781153,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PICK-UP TRUCK,64,0,206,0,-110,68,340
99,35722,1/21/14,9:30,BROOKLYN,11249,40.7016614,-73.9614533,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,PASSENGER VEHICLE,64,0,206,0,-110,68,340
100,35723,1/21/14,9:30,BROOKLYN,11236,40.6440534,-73.9039866,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
101,35724,1/21/14,9:30,BROOKLYN,11233,40.6745753,-73.9220474,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
102,35725,1/21/14,9:30,BROOKLYN,11224,40.5789366,-73.9852115,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,BUS,64,0,206,0,-110,68,340
103,35726,1/21/14,9:29,BRONX,10456,40.8227143,-73.9031399,0,0,0,0,0,0,0,0,Pavement Slippery,LIVERY VEHICLE,64,0,206,0,-110,68,340
104,35727,1/21/14,9:28,QUEENS,11354,40.7664031,-73.8152918,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
105,35728,1/21/14,9:27,BROOKLYN,11234,40.617203,-73.9170068,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
106,35729,1/21/14,9:27,BROOKLYN,11210,40.6267726,-73.946874,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
107,35730,1/21/14,9:25,BROOKLYN,11204,40.6136571,-73.9779931,0,0,0,0,0,0,0,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
108,35731,1/21/14,9:23,MANHATTAN,10021,40.7711045,-73.9638248,0,0,0,0,0,0,0,0,Other Vehicular,TAXI,64,0,206,0,-110,68,340
109,35732,1/21/14,9:20,MANHATTAN,NA,40.8265388,-73.8726969,1,0,0,0,0,0,1,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
110,35733,1/21/14,9:20,BROOKLYN,NA,40.6030702,-74.0166661,1,0,0,0,0,0,1,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
111,35734,1/21/14,9:20,MANHATTAN,NA,40.7390253,-73.9733471,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
112,35735,1/21/14,9:20,QUEENS,NA,40.606592,-74.0323672,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
113,35736,1/21/14,9:20,QUEENS,NA,40.6030702,-74.0166661,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
114,35737,1/21/14,9:20,MANHATTAN,10003,40.734034,-73.9950494,0,0,0,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
115,35738,1/21/14,9:20,BROOKLYN,11211,40.7042112,-73.961221,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
116,35739,1/21/14,9:20,BROOKLYN,11207,40.6840843,-73.9086307,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
117,35740,1/21/14,9:17,MANHATTAN,NA,40.820099,-73.8902362,0,0,0,0,0,0,0,0,Other Vehicular,VAN,64,0,206,0,-110,68,340
118,35741,1/21/14,9:17,MANHATTAN,10003,40.7359879,-73.9894563,0,0,0,0,0,0,0,0,Turning Improperly,TAXI,64,0,206,0,-110,68,340
119,35742,1/21/14,9:16,BRONX,10460,40.8426718,-73.8831822,3,0,0,0,0,0,3,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
120,35743,1/21/14,9:15,BROOKLYN,NA,40.7699045,-73.9160706,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
121,35744,1/21/14,9:15,BROOKLYN,NA,40.7396924,-73.8459652,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
